watershed_name;x_outlet;y_outlet;snap_dist;buff_percent;crs_proj;user_name
Agon-Coutainville;363669;6894593;200;10;'x';A.Gauvain
Baie-du-cotentin;399382;6929848;0;10;'x';A.Gauvain
Granville;362398;6869014;500;10;'x';A.Gauvain
Barneville-Carteret;352300;6929662;200;10;'x';A.Gauvain
Saint-Germain-sur-Ay;364195;6913295;100;10;'x';A.Gauvain
Caen;463650;6913840;100;10;'x';A.Gauvain
Canut;327844;6777928;500;10;'x';R.Abherve
Lasset;601020;6193860;100;10;'x';C.Roques
Vaunoise;338397.541;6789892.783;200;10;'x';R.Abherve
Taiwan;318579.507;2575403.181;500;10;'x';L.Pelascini
Guidel;212779;6759346;1000;10;'x';C.Bouchez
Home;364008;6834677;250;10;'x';R.Abherve
Tarapaca;470009;7807292;500;10;'x';E.Marti
Gazel;817365.170;6385865.235;500;10;'LAMB93';R.Abherve
Claduegne;818629.152;6387818.170;500;10;'LAMB93';R.Abherve
Galabre;957421.978;6346911.529;500;10;'LAMB93';R.Abherve
Cheze;324478;6779615;200;10;'LAMB93';R.Abherve
Outlet;127307.551;6835727.567;200;10;LAMB93;R.Abherve
Damstream;331373.084;6781357.283;200;10;LAMB93;R.Abherve
